サークル,活動内容,活動日時・場所,所属人数,設立年,外国人学生の受け入れる状況,ラベル1,ラベル２
球愛会,野球、バスケ、サッカー、テニス、バレーの5種目を各競技月1で行います。早稲田大学内最大規模の多種競技サークルです。雰囲気はアットホームで、和やかなムードで活動しています。加えて、年に7回の合宿があるなど、イベントも盛りだくさんです。大規模サークルならではの、大掛かりな合宿は大いに盛り上がります。さらに、野球では早稲田リーグや統一戦にも毎年出場したり、バレーバスケでは毎年、他の2サークルと合同で早球杯という大会を開いて、日々の活動の成果を発揮しています。活動自体は和やかなため、軽く運動したい人や、運動が苦手な方でも楽しめます。さらに、37代続く長寿サークルでもあり、毎年OB・OG会も開かれ、社会人の先輩方に就職の相談もできます。,"不定期
","90人
","1981年
",0人,スポーツ（球技）,その他の球技
スカッシュクラブ,早稲田大学スカッシュクラブ、通称「早スカ」は早稲田大学唯一のスカッシュサークルです。スカッシュというスポーツは大学から始める人がほとんどなため、初心者の人が大半です。そしてサークルの会員は全員早稲田生であり、もちろんサークルの掛け持ちもOKです！練習も自分のペースで来たい時に参加してもらう形なので、気軽な気持ちでぜひ来てください！そして早スカは普段の練習だけでなく、バーベキューやクリスマスパーティーなどさまざまなイベントも実施します。何といっても目玉は9月に行われる夏合宿です。宿の目の前が海なので、スカッシュの練習もしながらみんなで夏を満喫します！さらに早スカでは全国大会出場者も多数おり、実績も残しています。スカッシュに本気で打ち込むもよし、みんなでイベントを楽しむもよし！それが早稲田大学スカッシュクラブです！,毎週月・水・木・金曜日/15時〜18時/赤羽・白金台・阿佐ヶ谷,"140人
","1983年
",0人,スポーツ（球技）,その他の球技
ワイヴァーンズ クリケットクラブ,Wyverns Cricket Club（早稲田大学ワイヴァーンズクリケットクラブ）、通称ワイバは男子女子ともに全日本学生選手権では数々のタイトル受賞歴を持ち、昨年は男女ともに関東第2位という結果を残しています。また、男女共に全日本学生選手権での優勝だけを目指しているわけではなく、「日々を楽しもう」というテーマがあります。これは、サークルの練習がない日でもサークル員でお昼ご飯を食べたり、遊びに行ったりするくらい仲の良いサークルを目指そうという意図があり、そのおかげでサークル員が挙げるチームの特徴に「仲の良さ」があります！日本代表もいれば毎回の練習に来ることのできないサークル員もいますが、幅広い人がクリケットや日々の遊びを楽しんでいます。また練習以外のイベント、例えば夏合宿、BBQ、スノボ企画など多数あり、クリケットを通じて他の大学や社会人、日本に住む外国人などさまざまな人と関わることもできます。興味のある方はぜひ一度練習に参加してみてください！いつでも大歓迎です。,火曜日/13時/高田馬場　水曜日/午前中/恵比寿　日曜日/13時/北千住,"55人
",1989年,3人,スポーツ（球技）,その他の球技
バドミントン同好会,大学公認サークル！ オール早稲田で初心者から経験者まで楽しく練習しています。春は新歓レク夏はBBQなどバドミントン以外のイベントも充実！ 年2回の合宿もあります！ 毎年合宿には100人を超える人数が参加し、充実した1週間を過ごします。なんと！ 学生会館には専用の部室も！ 主な活動場所は、江東区スポーツ会館，赤羽体育館，戸田市スポーツセンター、和光市総合体育館です。主な年間行事は4月：新歓アフター、5月：新歓レク、早慶戦野球観戦、6月：シングルス大会、8月：ミックス大会、夏合宿、9月：団体戦、10月：幹事代最終コンパ、11月：ダブルス大会、12月：ミックス大会、2月：春合宿、追い出し試合、3月:最終担当など（1月、7月はテスト期間のため活動はなし）。まだまだここに書ききれないことが山ほどあります！ もちろん他サークルとの対外戦もあり！ 大所帯だからこそたくさんの出会いがある。ぜひ一度練習へ！,週1・2回/ 江東区スポーツ会館、赤羽体育館、戸田市スポーツセンター、和光市総合体育館など,"200人
","1966年
","0人
",スポーツ（球技以外）,バドミントン
バドミントン同好会J-Birds,バドミントン同好会J-Birdsは早稲田大学所沢キャンパスにある唯一のバドミントンサークルです！初心者から熟練者までさまざまなレベルの人が在籍していますが、レベルに関係なく練習を行っています！ 1年に2回開催される早稲田大学内の大会、通称「ダカップ」や、関東バドミントンサークル連盟(UBF)主催の大会、その他地域の大会に向けて日々練習を重ねています。また練習だけではなく、J-Birds内での交流戦「J-Cup」や年3回行われる合宿、その他メンバー自主企画イベントなど、さまざまなイベントも開催しています。ガチあり、ゆるありの自由でアットホームなサークルなので誰でも楽しめること間違いなしです！,毎週火・木・土曜日/16時〜/所沢キャンパススポーツホール,"90人
","1990年

",1人,スポーツ（球技以外）,バドミントン
ちょこLet's,ちょこLet'sは飲みなしで、男女比、初心者・経験者比ともに1:1のオール早稲田のバドミントンサークルです。初心者がたくさんいて、経験者の人も優しく教えてくれるので、やったことはなくても少しでもバドミントンに興味があるという方はぜひ新歓練習に参加してみてください！普段の練習はダブルスの試合をしており、部活のようにランニングしたり、練習への参加を強制したり…ということは一切ありません！来たいときに来てバドミントンをする、というスタンスなので、学部や他のサークルなどが忙しい方でも両立できます！また普段の練習も大学近く(主に理工キャンパスの近く)で行っているので、練習場所に行くのに交通費や時間がかかる、ということはありません！バドミントン以外にもクリスマス会や運動会といったイベントも開催しているので、興味のある方はぜひ一度ホームページまでアクセスしてみてください！！,"火、水、金、日のうち週2日ほど/夕方から夜にかけて/高田馬場近辺の体育館
","200人
","2002年
",5人,スポーツ（球技以外）,バドミントン
競技ダンス部（WBDC),"社交ダンス＋スポーツ＝競技ダンス????

男女でカップルを組み、踊る姿はまるで映画のワンシーンのよう✨一度目にしたら虜になること間違いなしです！
「競技」なので大会も多く行われており、早稲田大学競技ダンス部は関東大会、全国大会でも優秀な成績を納めています。
全国大会ともなると日本中の大学が集まり熱く闘います！！
卒部された先輩方曰く、就活に強いとかなんとか、、

他大にもダンス友達が沢山できます！
ダンス未経験でも大丈夫！部員の99%は大学から競技ダンスを始めています
未経験からでも優勝を本気で目指せるのが競技ダンス部です！

大会で着用する美しいドレスや燕尾服も競技ダンス部の魅力のひとつです！
普段の生活では着ることのできない様なドレスや燕尾服を着ることができます。
部員が一眼レフを持って大会に来てくれるので、かっこいい写真も沢山撮れちゃいます??

優雅で、まるで舞踏会のように舞うスタンダードダンス。激しい愛と情熱を表すラテンダンス。
競技ダンスに入ると姿勢が美しく、男性は凛々しく、女性は引き締まった美しいスタイルになれます！

早稲田大学競技ダンス部は80年続く、歴史深い部活です！早稲田大学で過ごす学生生活を、競技ダンス部の仲間たちと一緒に熱く踊ってみませんか。
ぜひ一度、気軽に見学に来てください！","練習会 : 毎週火曜@共立女子大学



自主練 :

木、土曜 @共立女子大

いつでも @学生会館","55人
","1943年
",1人,スポーツ（球技以外）,ダンス
Waseda University　Breakerz(W.U.B）,"お疲れさまです。WUBは今年で創立32年を迎える早稲田で一番歴史のあるストリートダンスサークルです。僕らは早稲田キャンパスの17号館生協前広場で練習をしています。他のサークルと違い、基本的に完全自主練習なので、おのおののペース、リズムでダンスを続けることができます。苦手なところを練習するのも、得意なところを伸ばすのも、全てが自分のペースです。人に合わせる必要などなく、思いっきりダンスを楽しむ事ができます。個々のスタイルが強く伸びて1ダンサーとしての魅力をつけられる、これがこのサークルの最大の強みだと思います。ダンスが大好きな人だけが集まるこの環境で精いっぱい自分を磨いていきましょう。/////
///// そしてこのサークルには、世界中で活躍しているOB・OGの方々が数多くいらっしゃいます。そんな人たちも、気軽に僕らの練習場所に来てくださり、一緒に練習しています。そんなぜいたくな環境があるのもこのサークルの大きな魅力です。他では絶対味わえない刺激をぜひ体感しに来てください。/////
/////また、日頃の自主練習の成果を披露する場所として、学祭の他に単独自主公演が1回、クラブでのショーケースイベントが冬と春に1回ずつあります。どれも毎年みんなが自分のやりたいことを最大限詰め込んだアツいイベントになります！/////
/////本気でダンスをしたい、時間に縛られずに自分のペースで思う存分ダンスを楽しみたい、という方はぜひ一度足を運んでみてください！",月〜土曜日/9時〜21時半/17号館生協前広場（緑の床）,"100人
","1985年
",3人,スポーツ（球技以外）,ダンス
Dance Team Brilliant Pinks,"Brilliant Pinks、通称ブリピンは早稲田大学で唯一、女子のみで構成されるダンスサークルです！/
///
//6月、12月の単独公演や、早稲田祭に向けて日々活動しています。主にgirls、hip、lock、punking の4つから、ステージごとにジャンルを選ぶことができます。やる気があり、ダンスに夢中になれる新入生をお待ちしています！初心者も大歓迎です！私たちと一緒に大学生活を充実させましょう！",毎週月水金、567限、学生会館や都内スタジオ,68人,"1999年
","0人
",スポーツ（球技以外）,ダンス
早稲田大学よさこいチーム東京花火,"私たちは、学生チームでは珍しい、高知系のよさこいチームです！
高知系よさこいは、鳴子を持ちパレード形式で踊るのが特徴。力強い男振りと、扇子を取り入れた優雅な女振り、纏とが織りなす、優美な演舞が自慢です。
1年に1度、衣装・曲・振り・MC全てを自分達で手掛けた演舞を制作し、高知よさこいをはじめとする全国各地のよさこい祭りに参加して披露しています。
学年問わずとても仲が良く、和気あいあいとした温かい雰囲気の中で、真剣に踊りと向き合いながら日々練習に励んでいます！
新しいことに挑戦したい方、何かに真剣に取り組んでみたい方、素敵な仲間と出会いたい方、踊ることが好きな方…もちろん、ダンス未経験者でも大丈夫！サークル員のほとんどが未経験者からのスタートです！
全国各地のステージで、”花火っ子”として、観客の皆さんに笑顔を届けませんか！！学生生活最後の青春を、私たちと一緒に楽しみましょう！！",毎週火・土曜日/19時~/学生会館、大学周辺施設,150人,"2005年
",,スポーツ（球技以外）,ダンス
早稲田大学フラッシュモ部,早稲田唯一のフラッシュモブを行うサークルです。フラッシュモブとは一般人に扮（ふん）した演者が突然街中で踊りだし、周りに居合わせた人々に「驚き」と「感動」を与えるパフォーマンスであり、プロポーズやバースデー、結婚式を祝う際のサプライズに多く使われます！ ダンスの経験の有無は関係ありません！ダンス以外にも楽器や歌、その他何でも自分それぞれの「個性」を生かすことができます！誰かの笑顔のために頑張れる熱い方、大学で何か新しいことを始めたい方、いちから作品を作り上げることに興味がある創作意欲あふれる方を歓迎しています！ぜひともYouTubeで「早稲田大学フラッシュモ部」と検索してみてください。一目みたらあなたもそこからフラッシュモブのとりこです！あなたも誰かを驚きと感動の渦に巻き込んでみませんか？,企画がある時は、月・水・金曜日の中から週2日/5限後/早稲田周辺施設（企画ごとに随時変更の可能性あり）,150人,"2013年

","0人
",スポーツ（球技以外）,ダンス
合気道会,こんにちは、合気道会です！ 当会は、早稲田大学で唯一の合気会所属団体（合気道の創始者・植芝盛平先生直系の団体）で、早稲田大学最古にして最大規模の合気道サークルです。武道と聞くと激しい試合を想像する方も多いと思いますが、合気道は試合で優劣を決めることはありません！ お互いの習熟度にあわせて技を繰り返し稽古しますので、力に自信のない女性でも気軽に始められます。(ちなみに当会の男女比は6:4です。)当会の会員の9割は大学から合気道を始めました。高段位の師範からの指導のもと、基本の受け身からしっかりと稽古するので、初心者でも安心して安全に活動することができます。週6日の稽古のうち週1日〜から参加可能で、活動場所は全て大学から徒歩圏内です。授業や勉強、アルバイトとの両立、スケジュールも合わせやすいため、文系理系問わず様々な学部の学生が所属しています。あなたも合気道会で、私達と一緒に稽古をしませんか？ 入会はいつでも可能ですので、お気軽にお問い合わせください！,月水木曜日/16:45-18:15/合気道本部道場、火曜日/18:30-21:30/江戸川橋体育館、金曜日/15:20-16:50/合気道本部道場、土曜日/12:20-15:20/新宿コズミックセンター,"40人
","1960年
","0人
",スポーツ（球技以外）,武道
早稲田大学弓道同好会,私たち弓道同好会は、週に1回、高段位の先生方にご指導いただきながら練習をしています。早稲田大学には弓道サークルが二つありますが、仲が悪いといったことはなく、交流もあります。日々の練習では同好会員は皆熱心に取り組んでおり、段級審査や他大学の弓道サークルとの射会においても良い結果を出しています。休日は遊びに行ったり飲みに行ったり、大学の授業の空きコマはたまり場でダラダラしたり、その後一緒にワセメシを食べたり、練習以外でもよく会うんです。みなさんもぜひ、一緒に大学生活を過ごしませんか？,毎週日曜日/浜田山の弓道場,100人,"1961年
",2人,スポーツ（球技以外）,武道
剣道同好会,通常、新宿剣道連盟の先生方と一緒に稽古させていただいています。初心者から経験者までさまざまなレベルの会員が所属しており、稽古は自由参加なので、各自の実力や都合にあった稽古ができます。初心者に対しては、幹部会員が丁寧に指導するので、大学から剣道を始める方も安心です。大会には交流試合も含め年10回程度参加しており、毎年入賞などの成績を残しています。当会へ入会と同時に新宿区剣道連盟へ入会するため、当会からの段位の取得や新宿区の大会に出ることもできます。試合がない春季、夏季休業中には剣道合宿を行い、稽古のみに集中する充実したオフ期間を過ごしています。剣道以外にもスキー合宿や懇親会など各種楽しいイベントを頻繁に行っており、会員同士の結束力を高めています。一方でテスト期間中は稽古を行わず、学業やバイト、他のサークルの活動とも両立が可能です。剣道同好会で充実した学生生活を共に送りましょう！,毎週火・木・土曜日/18時半/新宿スポーツセンター4階 第二武道場,100人,"1962年
",5人,スポーツ（球技以外）,武道
空手道誠心会,私たち空手道誠心会は、本年度で創立54周年を迎える伝統のある空手サークルです。早稲田大学からは「学生の会」として公認されており、二部運動部として位置づけられています。現在1〜3年生30名ほどが在籍しており、中には空手歴10年以上の部員やインターハイ出場経験のある部員、大学から空手を始めた部員まで、流派・経歴・性別・大学を問わず共に和気あいあいと活動しています。流派は伝統派（寸止め）空手の四大流派の一つ「和道会」に所属しています。寸止めルールを採用しているので、女性や初心者の方でも安心です（部員の男女比はおよそ1:1で、約半数が初心者です）。稽古は週3回、戸山キャンパスの学生会館で行っており、うち週1回以上の参加を目安に、各自のペースで練習に励んでいます。普段の稽古では基本から形・組手までを全員が一緒に取り組み、1〜2カ月に一度の間隔で開催される大会前には、おのおのの出場種目に特化して稽古を行っています。加えて希望者は全日本空手道連盟加盟道場である和道会荒川道場に無料で通うことができ、初心者の方は在学中の黒帯取得を目指せます。週3回の正規練習と年3回の合宿を軸に、空手以外にも夏祭りに行ったり、旅行やスノボ合宿を企画するなど部員同士とても仲が良く、アットホームな雰囲気で大学生活を楽しんでいます。,"毎週水・金・土曜日/5限（土曜は4・5限）/学生会館
","30人
","1963年
",4人,スポーツ（球技以外）,武道
空手道糸東会,サークル選び中の皆さん、一緒に「カラ充」しませんか!? 初めまして、早稲田公認の空手サークルの早稲田空手道糸東会です！ 空手というと、相手と戦う「組手」、演舞の美しさを競う「形」に分かれた「The 日本の武道」というイメージがあるかもしれませんが、2016年にはオリンピックの新競技として認められ、今や国際的にヨーロッパ、中東を中心に1億人以上の競技人口を誇る「インターナショナルスポーツ」として世界中で大人気なのです!! YouTubeで「karate」なんて調べたら、驚くほどの海外人気と、カッコよさを感じてもらえると思います！ また、私たちは防具をつけて寸止めで行う伝統派空手なので、とても安全です。他流派の経験者、全くの初心者、他大学生、留学生など関係なく、空手の練習をしたり、部室でまったりしたり、イベントを行ったり、遊びに行ったりと、楽しく活動しています！ 練習は月〜土曜日の放課後毎日やっていて、空いた時間に好きなだけ練習できるので、初心者でもほとんどの部員が黒帯を取得し、大会で上位入賞するほどうまくなれます！ 他大との交流や大会に出る機会もたくさんあるので経験者も上達する環境が整っていますよ！ また、男女比は1：1なので、女子も安心して練習できます！ さらに年会費などはありませんし、糸東会はいつでも部員を募集しているので、入会したいぞという方は1年生に限らずお気軽に連絡ください!! 一緒に空手しましょう!!,毎週月〜土曜日/16時半〜18時/学生会館、部室,35人,"1966年
",1人,スポーツ（球技以外）,武道
早稲田大学理工柔道部,"早稲田大学理工柔道部柔道会には、初心者から柔道エリートまでのさまざまな人種が集まり、おのおのの目標に向かい日々練習に励んでおります。その目標は、受験による運動不足を解消するためであったり、さらに高位の段位を獲得するためであったりといろいろです。部全体の目標としては、1年間に2回開催される九校戦という大会で優勝する事です。初心者も経験者も、目標がある者もなんとなく興味がある者も、大学で柔道をやりたいという方なら誰でも歓迎しています！
","毎週火・土曜日/19時〜21時/新宿スポーツセンター
","50人
","1968年
",1人,スポーツ（球技以外）,武道
サジテリアス・アーチェリークラブ,サジテリアスアーチェリークラブは今年で45年目を迎える早稲田大学＆実践女子大学の公認サークルです。週に1，2回新宿スポーツセンターなどの洋弓場にて練習を行っている他、他大学との交流戦、各種イベントなどの活動を行っています。「enjoy， archery!」の精神でまったりとアーチェリーをしながら自由なサークル参加を大切にしています。サジテリアスでは大学からアーチェリーを始めたという人がほとんどです。上級生の人やアーチェリー経験者の人、アーチェリー場の指導者の方などが1から教えてくれるので、初めてでも大丈夫です!もちろんアーチェリー経験者も大歓迎です!練習への参加の強制は無しです。また、飲みの強制も一切ありません。 自分の好きなようにサークルに参加してもらえればいいなー、と思います。でもたくさん参加したほうが楽しいですよー☆,"毎週水曜日・日曜日/16時半/新宿スポーツセンター
","106人
",1970年,1人,スポーツ（球技以外）,武道
防具空手道会,"防具空手道会へようこそ！私たちは運動経験がなくても2年で黒帯が取得できる、初心者も経験者も大歓迎のサークルです。防具空手って何？という方も多いと思いますので、以下で簡単に説明いたします。

・歴史ある伝統空手の一種です。
・防具をつけて組手をすることが特徴で、ケガを気にせず思い切り戦うことができます。
・しっかりした土台から繰り出される力強く華やかな型も必見です！

防具空手道会の魅力

・初心者大歓迎！未経験スタートの部員が多数在籍しています。
・男女問わず活躍できます。緑帯（白帯の次）からすぐ試合に出場可能です。
・新入部員随時募集中！学年問わず、年中いつでも歓迎していますので、気軽にご連絡ください。
・創立50年の伝統を誇るサークルです。有段者のOBから丁寧な指導を受けることができます。
・本物の強さにこだわった指導を実施しています。強い土台がなければ、真の空手家は生まれません。
・International Students Welcome! 留学生が多く在籍していることも本サークルの特徴です！！

こんな人にオススメ！

・空手をやってみたいけど、経験者が多いサークルは怖いと思っている方。
・派手なサークルや多忙なサークルに入るのは不安だと思っている方。
・理工系学生で、同じ趣味を持つ人たちと出会いたい方。
・新しいサークルに入りたいけど、どこに入っていいか分からない方。
・周りとは違うことをしてみたいと思っている方。","火曜日：18:55〜20:35/木曜日：18:55〜20:35/土曜日：12:50〜14:50
場所：学生会館、戸山公園","23人
","1973年
",7人,スポーツ（球技以外）,武道
早稲田大学心身統一合氣道会,"早稲田大学理工学術院承認のインカレ合氣道サークル。週2回を目安に理工キャンパス隣の新宿コズミックセンターにて稽古をしています。理工生はもちろん、文系学部生、院生、他大生も所属。ほとんどが合氣道初心者で、2年間で黒帯をとることを目標に和氣藹々と活動しています。当サークルは忙しい理工生にあわせて稽古日程を組んでおり、授業などで出られない稽古があっても大丈夫です。昇級に向けての稽古は一人一人のペースに合わせて練習していくので、運動経験がなくても心配ありません。春夏に合宿を行うほか、合氣道の稽古以外にもいろいろな企画をたてて遊んでいます。やる時はやる、遊ぶときは遊ぶ！とメリハリをつけられるのが、当サークルの特徴です！
","毎週水曜日・金曜日/16:40-18:40/新宿コズミックセンター
","21人
","1976年
","2人
",スポーツ（球技以外）,武道
スポーツ合気道クラブ,スポーツ合気道クラブは30年以上の伝統を持つ公認サークルで、早稲田大学の施設をお借りして、月曜2限、水曜2・3限、金曜2・3限、土曜3限の最大週6コマで活動しています。週1コマ〜参加可能です。ほぼ全員が大学から合気道を始めるために、ほかの体育サークルより活動を始めやすいと思います。性別や運動神経によらず楽しめ、最短1年半で黒帯を取ることができます。新入生に限らず上級生の方々も大歓迎です！ 2・3年生から始める人もたくさんいます。またスポ合はインカレ歓迎なので他大学の方もぜひどうぞ！ 合気道に少しでも興味を持ったらメールで連絡いただくか、ぜひ道場（17号館地下1階）へ足をお運びください！ 部員一同お待ちしております。,毎週月曜2限 土曜3限 水曜・金曜2〜3限 17号館地下1階合気道場,"70人
","1979年
","3人
",スポーツ（球技以外）,武道
早稲田大学弓道サークル本陣,"本陣は1984年に創立したインカレの弓道サークルで、早稲田大学の学生はもちろん、様々な大学の学生が在籍しています。アットホームな雰囲気で、お互いに教え合って弓の上達を目指しながら毎週楽しく活動しています。大学でも弓道を続けたい！という経験者の方、弓道を始めたい！という初心者の方どちらも歓迎です。

　練習は週2回(大学長期休暇中のみ週3回)、弓道場を貸し切って練習しています。大学の授業期間中は金曜日・日曜日、長期休暇中は水曜日・金曜日・日曜日が練習日です。金曜日の練習場所は墨田区弓道場､水・日曜日は江東区スポーツ会館を使用しています。練習の他にも、「関東弓道サークル連合」主催の射会への参加や、友好サークルとの交流戦、サークル内の練習試合などを定期的に行なっています。また、東京都弓道連盟第二地区に所属しており、昇段審査の受審や、成人射会の参加ができます。また、5月・8月の年2回、弓道の強化合宿を行なっています。さらに、弓道合宿の他にもスキー・スノーボード合宿や、BBQなど様々なイベントを行なっており、大学生活を一緒に楽しむ仲間もできるサークルです！練習・合宿・各種イベントは参加/不参加は自由なので、自分のペースで活動できます。","毎週金曜日/17時半~21時/墨田区弓道場

毎週日曜日/18時~21時/江東区スポーツ会館

毎週水曜日/13時~17時/江東区スポーツ会館(2・3・8・9月の長期休暇中のみ)","103人
","1984年
",1人,スポーツ（球技以外）,武道
早大スポーツ合気道同志会,"同志会は早稲田大学の所沢キャンパスを拠点とした、富木流の合気道サークルです。人間科学部設立と同年に生まれ、歴史を人間科学部と共に歩んできました。決して大きなサークルではありませんが、その分雰囲気はアットホームです！ 合気道は大学から始める人がほとんど！ 始めて最短1年半で黒帯も巻けることも魅力の一つです。さらに、富木流は柔道のような試合形式の乱取があり、より実践的な技が学べます！ 練習は週1回から参加可能です。練習だけでなく、各種イベントや定期的に飲み会もあります。イッキとかコールとか一切なし！ 練習は真剣、遊ぶときは遊びます。本気でやりたい人も、合気道を知らない人も、運動が苦手な人も、性別、運動経験問わず誰でも大歓迎！ ぜひぜひ同志会を見に来てください！
","毎週月・火・金曜日/16時半〜19時/所沢キャンパス第二スポーツホール
","13人
","1987年

",0人,スポーツ（球技以外）,武道
早稲田大学大道塾,"早稲田で唯一の総合格闘技サークルです。空道という競技を行っており、防具をつけて試合をするため誰でも安全に強くなることができます。今までに全国大会優勝者を輩出するなど実績を残しており、現在も試合での勝利に向けて日々鍛錬しています。総合格闘技は大きく打撃、投げ、寝技に分けることができ、それぞれを練習することで、実戦で自分の思った通りに使えるよう技を磨いていきます。また、空道は極真空手から派生した「武道」であるため、身体の強化だけでなく精神面での成長も大事にしています。大学で何か新しいことを始めたい人、スポーツは続けておきたい人などにはおすすめのサークルです。加えて、部員の多くは他のサークルと兼部をしており、遊びとスポーツの両立をすることができます。興味のある方はぜひホームページをご覧ください。
","毎週月・水・土曜日/学生会館、新宿スポーツセンターなど
","13人
","1988年
",3人,スポーツ（球技以外）,武道
早稲田ITFテコンドークラブ,"私たち早稲田ITFテコンドークラブは早稲田で唯一のテコンドーの公認サークルです。メンバーは基本的に大学生になるまで武道や格闘技の経験がありませんでした。初心者、格闘技未経験者の方でも大丈夫です。練習は水曜日と土曜日の週2回行っています。また、月に1回程度、黒帯の指導員の方に教えに来ていただいています。そこでは、普段とは一味違った本格的な指導を受けられます。サークルの雰囲気は、程よくゆるく練習は真面目にという感じです。本格的に格闘技をやってみたい人、軽く運動したい人、ダイエットのためなど、どのような目的にも対応できるサークルです。私たちと一緒に華麗な足技を磨きましょう。
","毎週水曜日・土曜日/17:00～20:35/学生会館
","20人
",1991年,"1人
",スポーツ（球技以外）,武道
早稲田大学躰道会,"「躰道（たいどう）」とは、一言でいえば、空手と体操が混ざったような新しい武道です！昭和40年に創始されて以来、日本全国の道場や大学で普及しています。この武道の特徴として、型の中にバク転やバク宙などのアクロバティックな動きが登場します。また、組手競技では、 独特の体勢から放たれる変幻自在の蹴り技や、間合いを自由自在に制御する不思議な歩法｢運足｣を見ることができます！ほとんどの人が大学から始めるうえ、躰道歴20年超の指導者が丁寧に教えてくれるので初心者でも全く問題ありません！年数回の大会を通して、他大学の躰道部との交流も盛んで、幅広く友達を作ることができます。会員は、授業や勉強、他サークル、アルバイトと両立しながら練習に励んでいて、スノボ合宿を企画するなど部員同士はとても仲が良く、アットホームな雰囲気で大学生活を楽しんでいます。体験や入会は一年中受け付けておりますので、お気軽にどうぞ！
","毎週水木土日/水木 18:30〜21:00近所の中学校/土日 随時 早稲田キャンパス周辺　
","30人
","2002年
","0人
",スポーツ（球技以外）,武道
早稲田大学居合道部,"こんにちは！早稲田大学居合道部です。
居合道部は日本刀を使用した居合術を学び、各々で技を磨き上げていくサークルです。日本刀、と言っても刃の潰れた模造刀なので安全安心です。入部が決まったらまず自分の刀を注文することになります。鞘や鍔、刃紋など自分好みの刀をカスタマイズして買うことができます！

私たちは居合道の中でも最大の流派のひとつである「無双直伝英信流（むそうじきでんえいしんりゅう）」と「全日本剣道連盟居合」を、教士八段畠中篤美先生の下で学んでいます。 平成22年度より東日本学生居合道連盟へ加盟しました。東日本学生居合道連盟に英信流での加盟校は少なく、東日本において英信流を修めた最初の大学となります。

居合は大学から始める学生が多く， 事実当部の学生の大半が大学から始めています。また、2年生になってから始める学生もいます。
基本的に対戦相手とは接触しないので運動経験の少ない方でも始められます。また個人競技となるので、自分のペースでの稽古ができます。分からないことや難しいことがあったら、先輩や仲間、先生がその都度丁寧にお教えします。

 是非1度、Twitterやインスタで部の雰囲気を感じてみてください！見学・体験・入部は通年、どの学年でも大歓迎です！いつでもご連絡お待ちしてます♪","毎週月・水・土or日…四谷ひろば(四谷三丁目) / 毎週金…学生会館
","30人
","2005年
",4人,スポーツ（球技以外）,武道
スポーツチャンバラ剣隼会,"私たちは早稲田大学で唯一のスポーツチャンバラサークルです。スポーツチャンバラ、略してスポチャンは約50年前に日本で生まれた新しい武道です。空気を入れた柔らかい剣を使ってコートの中で一対一で戦い、先に相手の体を打ったら勝ちです。マイナースポーツゆえに誰でも全国レベルの大会に出場できます。また、サークルの枠を超え、全国のチャンバラ仲間とも交流があります。
/
/メンバーのほとんどは大学からスポーツチャンバラを始めましたが、男子・女子とも全国大会での優勝など毎年多数の戦績を残しています。一方で練習は週2日、授業後の時間帯に行うため、文系理系問わず多数のメンバーが在籍しています。大学で新しいことを始めてみたい方、運動不足を解消したい方など、どなたでも大歓迎ですので、いつでもお気軽にお問い合わせください！",毎週月曜日・水曜日/19時〜21時半/(月)池袋第一小学校(板橋駅)・(水)明豊中学校(千川駅),"64人
","2005年
","0人
",スポーツ（球技以外）,武道
乗馬倶楽部,週に1回日曜日に乗馬レッスンを受けたり自然の中で馬に乗ったりする活動をしています。全くの初心者が多く、中にはかなりの経験者もいます。行きたいとき、余裕があるときに自分のペースで参加するスタイルを取っているため、無理せず続けることができます。男女比は2:8と女性の方が多いですがメンバー間の仲が良く、ご飯会や飲み会の企画も多いです。歴史あるサークル故にOBOGとの交流の機会も大切にしています。今まで全く馬に興味が無かったという人でも先輩方から経験談、アドバイスを聞いて乗馬の楽しみを知ったメンバーもいるかと思います。また、合宿は年3回設けており、乗馬スキルの向上を目指したり、みんなでレジャーを楽しんだりと充実した内容になっております。サークル外の活動でもっとうまくなりたい、メンバーともっと仲良くなりたい、と自分から進んで企画を立てる方が最近増えてきています。みんなが楽しむことがモットーとしての当サークルにおいて大変うれしい限りだと感じております。,毎週日曜日/14時〜/サンヨーガーデン(乗馬場),55人,"1980年
","5人
",スポーツ（球技以外）,乗馬
